ID;text;rating;kategoria_benchmark;uzasadnienie;manual_weryfikacja;sentyment;total_tokens
0;Słuchawki różnią się od tych na zdjęciach. Są wykonane z tandetnego plastiku i na 100% nie są to TWS i12, które są tak zachwalane w internecie. Jest to podróbka TWS i12, czyli podróbka podróbki. Znajomy ma i12 i jego grają znośnie, a te słuchawki grają jak kupione na bazarze za 10 zł. To wszystko nic, przecież to podróbka, można wytrzymać. Ale ciągłego samoczynnego odłączania się prawej słuchawki nie można. Możliwe, że dostałem wadliwą sztukę, możliwe, że wszystkie tak mają, nie wiem. Co kilka-kilkanaście minut przestaje grać prawa słuchawka, a gdy czasami zacznie grać z powrotem, to spóźnia się co do lewej o kilka sekund. Wtedy można tylko wyłączyć i włączyć słuchawki jeszcze raz, co trwa dosyć długo. Towar do zwrotu.;1;Zawyżone parametry i podróbki;Klient wprost identyfikuje produkt jako podróbkę modelu TWS i12, co stanowi kluczowy powód zakwestionowania autentyczności i jakości towaru.;;negatywny;3915
1;Towar slabej jakosci. Prosilem o biale ramki szkla a dostalem bezbarwne, choc to nie jest akurat taki problem.  Szklo ewidentnie nie chce sie przykleic do wyswietlacza, nawet po wczesniejszym umyciu go sciereczka nasaczona alkoholem i wytarciu go do sucha. W pewnych miejscach na wyswietlaczu trzeba mocno naciskac na ekran by zadzialal dotyk.... nie polecam;1;Kompatybilność i montaż;Głównym problemem opisanym przez klienta jest brak możliwości poprawnego przyklejenia szkła do ekranu oraz problemy z responsywnością dotyku po montażu.;;negatywny;1706
2;Wszystko byłoby ok , gdyby nie fakt, iż zasilacz jest z przewodem 1 metr. Pozostaje opcja, albo wstawiać nowe gniazdka pod kamery, albo nowe zasilacze , lub przedłużka . Niestety sprzedający nie podał długość a ja przeglądając oferty z super obniżki widziałem 3 metrowe zasilacze , dlatego nawet nie podejrzewałem że będzie krótszy. No nic kolejny wydatek .A sprzedającego oceniam na czerwono , gdyż nie wyszczególnił bardzo ważnego parametru , który jest istotny do poprawnego montażu. ;1;Kompatybilność i montaż;Głównym powodem niezadowolenia jest zbyt krótki przewód zasilający, który uniemożliwia poprawny montaż bez dodatkowych kosztów i modyfikacji.;;negatywny;1543
3;Ramka metalowa nie jest do pasowana do miejsca w Skodzie Octavii 1.  Jest za szeroka a na wysokość niższa niż miejsce.  Jeśli by ktoś chciał włożyć w to chińskie radio 2 din, to nie wejdzie ani w kieszeń, ani ramka nie wejdzie na to. Pomijam fakt że moja ramka przyjechała z połamanymi zaczepami. ;1;Kompatybilność i montaż;Główna część opinii skupia się na niedopasowaniu wymiarów ramki do konkretnego modelu samochodu oraz radia, co uniemożliwia jej montaż.;;negatywny;1464
4;Po raz pierwszy w życiu od kiedy używam szkieł hartowanych do telefonu zdarzyła mi się sytuacja w której pękł wyświetlacz w chwili upadku. Być może jest wiele czynników, które spowodowały pęknięcie (typu wysokość z jakiej telefon upadł itd.), ale niestety - używam szkiełek od kiedy pamiętam (najróżniejszych i do kilku telefonów które posiadałam) i telefon upadał mi wiele razy na ziemię/płytki czy po prostu podłogę i taka sytuacja nigdy nie miała miejsca. Poza jakością produktu wszystko było w porządku.;1;Niska wydajność w praktyce;Produkt nie spełnił swojej podstawowej funkcji ochronnej w sytuacji upadku, co doprowadziło do uszkodzenia wyświetlacza mimo poprawnego montażu.;;negatywny;2927
5;"Mocno się zawiodłem na tym produkcie. Być może nie chodzi tu konkretnie o firmę tylko o samą zasadę działania. Specjalnie zakupiłem coś ""markowego"" a i tak nie otrzymałem zamierzonego efektu wyssania popiołu. Do odkurzacza i tak dostało się dużo popiołu. Być może jest to spowodowane brakiem skierowania dyszy w wewnętrzny bok puszki i wymuszenie rotacji powietrza,ale to tylko moje domysły gdyż jest to pierwszy kontakt z tego typu ""urządzeniem"". Wąż bardzo krótki i z uwagi na sztywność bardzo niewygodnie się odsysało popiół.";1;Niska wydajność w praktyce;Klient wskazuje na niską skuteczność urządzenia w zatrzymywaniu popiołu oraz problemy z ergonomią użytkowania wynikające z konstrukcji węża.;;negatywny;1590
6;etui  ok ale  zupełnie  bezuzyteczna  dodatkowa  szybka ochronna  i pomimo licznej korespondencji  totalna ignorancja  ,kupowałem etui  w innej firmie  i nie było najmniejszego problemu z wymianą ( a nawet firma  przysłała  własciwą szybke  bez koniecznoości  zwrotu tej nieodpowiedniej ) a tu ceregiele  jakby chodziło o conajmniej smartfona  a nie  szybki do niego  NIE POLECAM !!!!!!!!!!1;1;Obsługa klienta;Głównym powodem negatywnej opinii jest frustracja procesem reklamacji i ignorowanie klienta przez firmę mimo prób kontaktu.;;negatywny;1449
7;Najtańsza możliwa chińszczyzna - sam kabel nie działa nawet na innej ładowarce, a ładowarka nie ładuje nawet na innym kablu, ma zbyt mały prąd, wartości podane oczywiście są zaniżone. NIE POLECAM. Dołóżcie parę zł i kupcie coś markowego. Na załączonym zdjęciu pokazany prąd ładowania na tej ładowarce i na analogicznej ładowarce Samsunga o tych samych parametrach. ;1;Zawyżone parametry i podróbki;Klient bezpośrednio kwestionuje rzetelność podanych parametrów technicznych, wskazując na znaczne rozbieżności w pomiarach prądu względem deklaracji.;;negatywny;1953
8;Produkt słabej jakości, Za ciasny na telefon gdzie trzeba zakładać obudowę  siłą. Na łączeniach elementów - szpary ze wzgledu na zanizenie rozmiaru.. Klipsy trzymające górny i dolny element pękły po 3 dniach.  Szkło hartowane z defektem w postaci grudki powietrznej co niestety nieumozliwilo ścisle przyleganie do ekrany.  BARDZO NIE POLECAM;1;Słabe materiały i usterki;Głównym powodem negatywnej opinii jest fizyczne pęknięcie elementów konstrukcyjnych oraz wady fabryczne materiałów.;;negatywny;1702
9;Toner po kilku użyciach zasechł, pomimo prób przywrócenia go do poprawnego stanu użytkowania nadal nie drukował jak trzeba, obejrzałem toner od strony głowicy drukującej no i nie dziwne, że nie drukował jak po prostu tusz przestał być podawany na głowice, nie wiem czy się zatkał chociaż nie wiem jak, czy powstał inny problem ale głowica była czyściutka-nieskażona tuszem. Toner beznadziejny. Szkoda pieniędzy.;1;Słabe materiały i usterki;Produkt uległ fizycznej awarii polegającej na zaschnięciu tuszu i zablokowaniu głowicy krótko po rozpoczęciu użytkowania.;;negatywny;2346
